Nodos AristasExistentes Tiempo
50 0 83775
50 0 79221
50 0 61406
50 0 61129
50 0 168403
50 0 61335
50 0 71215
50 0 61423
50 0 61115
50 0 61402
50 0 101792
50 0 70085
50 0 61217
50 0 66544
50 0 67078
50 0 83229
50 0 65468
50 0 75919
50 0 66348
50 0 77912
50 0 73216
50 0 70578
50 0 60302
50 0 156422
50 0 84352
50 0 61163
50 0 61067
50 0 92424
50 0 61020
50 0 69080
50 0 61187
50 0 60248
50 0 61537
50 0 1025863
50 0 61238
50 0 61755
50 0 75689
50 0 66651
50 0 66249
50 0 65143
50 0 21975
50 0 66450
50 0 83095
50 0 62906
50 0 77448
50 0 45819
50 0 73616
50 0 66769
50 0 66699
50 0 67262
50 0 66570
50 0 67399
50 0 78347
50 0 65216
50 0 66353
50 0 65798
50 0 66815
50 0 73520
50 0 67231
50 0 66493
50 0 66742
50 0 236441
50 0 92975
50 0 66759
50 0 65326
50 0 88554
50 0 50297
50 0 91653
50 0 75117
50 0 68052
50 0 79423
50 0 65219
50 0 65078
50 0 75023
50 0 66401
50 0 65293
50 0 979261
50 0 67330
50 0 65594
50 0 73924
50 0 67728
50 0 66096
50 0 66248
50 0 78585
50 0 66117
50 0 66143
50 0 146161
50 0 65134
50 0 66569
50 0 73288
50 0 60201
50 0 91039
50 0 60941
50 0 60295
50 0 61003
50 0 58052
50 0 61870
50 0 66506
50 0 82455
50 0 60193
50 50 33992
50 50 24810
50 50 24618
50 50 24661
50 50 24409
50 50 24452
50 50 24572
50 50 24284
50 50 59073
50 50 12320
50 50 27998
50 50 28259
50 50 25439
50 50 97191
50 50 24494
50 50 24437
50 50 24109
50 50 34061
50 50 24880
50 50 24001
50 50 26352
50 50 24093
50 50 24287
50 50 24199
50 50 24334
50 50 26956
50 50 24373
50 50 114441
50 50 24513
50 50 24456
50 50 24408
50 50 62144
50 50 24174
50 50 24545
50 50 24243
50 50 24192
50 50 35343
50 50 103712
50 50 26220
50 50 26134
50 50 26173
50 50 27872
50 50 28425
50 50 26434
50 50 28082
50 50 26436
50 50 26407
50 50 26130
50 50 26194
50 50 27486
50 50 25957
50 50 26410
50 50 27749
50 50 45053
50 50 26400
50 50 26445
50 50 27419
50 50 26099
50 50 69113
50 50 24906
50 50 88788
50 50 27197
50 50 26529
50 50 26015
50 50 25904
50 50 26413
50 50 28358
50 50 28594
50 50 26113
50 50 26550
50 50 31169
50 50 44768
50 50 45064
50 50 27233
50 50 26586
50 50 26564
50 50 26088
50 50 26632
50 50 26500
50 50 26392
50 50 26586
50 50 26389
50 50 24204
50 50 24221
50 50 24373
50 50 24448
50 50 25027
50 50 24193
50 50 34722
50 50 24348
50 50 24059
50 50 23923
50 50 26218
50 50 24195
50 50 23930
50 50 24538
50 50 24129
50 50 26044
50 50 24415
50 50 24836
50 100 28293
50 100 27885
50 100 27565
50 100 28177
50 100 27472
50 100 27327
50 100 27029
50 100 62148
50 100 27483
50 100 29048
50 100 34902
50 100 27851
50 100 27674
50 100 29932
50 100 27268
50 100 27354
50 100 27570
50 100 27136
50 100 62585
50 100 27120
50 100 27090
50 100 55616
50 100 27189
50 100 27162
50 100 37686
50 100 27478
50 100 27182
50 100 27012
50 100 27180
50 100 31583
50 100 27051
50 100 27767
50 100 26902
50 100 94123
50 100 38174
50 100 27072
50 100 27220
50 100 27523
50 100 26910
50 100 27641
50 100 27173
50 100 29431
50 100 37365
50 100 27138
50 100 27205
50 100 26986
50 100 55044
50 100 27084
50 100 27162
50 100 36011
50 100 27235
50 100 29618
50 100 27208
50 100 26933
50 100 26878
50 100 27209
50 100 94634
50 100 65291
50 100 27729
50 100 28001
50 100 29711
50 100 27459
50 100 26978
50 100 30430
50 100 29537
50 100 29084
50 100 29261
50 100 29381
50 100 29195
50 100 63920
50 100 31771
50 100 29870
50 100 29614
50 100 29820
50 100 29894
50 100 29637
50 100 106614
50 100 29607
50 100 29558
50 100 29658
50 100 30089
50 100 27063
50 100 29270
50 100 27860
50 100 26988
50 100 26854
50 100 29832
50 100 28293
50 100 27293
50 100 27525
50 100 27407
50 100 28908
50 100 27117
50 100 27740
50 100 27152
50 100 27399
50 100 65087
50 100 29332
50 100 111354
50 100 29717
50 150 33548
50 150 33466
50 150 33149
50 150 52145
50 150 33121
50 150 34906
50 150 33318
50 150 27546
50 150 33221
50 150 32847
50 150 32403
50 150 33075
50 150 32559
50 150 118805
50 150 32851
50 150 32631
50 150 32788
50 150 30258
50 150 30184
50 150 49333
50 150 30672
50 150 29865
50 150 30126
50 150 30066
50 150 32802
50 150 29862
50 150 30197
50 150 30171
50 150 29849
50 150 29837
50 150 41105
50 150 46033
