Nodos AristasExistentes Tiempo
3 6 20179
3 6 13704
3 6 12411
3 6 12509
3 6 13850
3 6 11880
3 6 11612
3 6 11932
3 6 11690
3 6 11855
3 6 858861
3 6 12321
3 6 25333
3 6 11646
3 6 11511
3 6 11725
3 6 11627
3 6 11587
3 6 11597
3 6 11798
3 6 11742
3 6 11598
3 6 29645
3 6 11720
3 6 11575
3 6 11631
3 6 14040
3 6 11920
3 6 11949
3 6 11847
3 6 11648
3 6 11538
3 6 11492
3 6 59355
3 6 11667
3 6 11689
3 6 11532
3 6 11491
3 6 11606
3 6 11754
3 6 11517
3 6 11810
3 6 11563
3 6 11580
3 6 11821
3 6 11605
3 6 11522
3 6 11478
3 6 11510
3 6 11517
3 6 11528
3 6 11909
3 6 11633
3 6 11497
3 6 11589
3 6 11624
3 6 11623
3 6 11401
3 6 11484
3 6 11381
3 6 11875
3 6 11630
3 6 11649
3 6 11511
3 6 11487
3 6 11718
3 6 11661
3 6 11617
3 6 11459
3 6 11525
3 6 11423
3 6 11801
3 6 12539
3 6 11876
3 6 11510
3 6 11641
3 6 11492
3 6 11570
3 6 11626
3 6 11777
3 6 11546
3 6 11577
3 6 11735
3 6 11828
3 6 11622
3 6 11543
3 6 10497
3 6 10485
3 6 10413
3 6 10905
3 6 10489
3 6 10545
3 6 10528
3 6 10585
3 6 10453
3 6 10516
3 6 10565
3 6 10540
3 6 10511
3 6 10520
3 6 10536
3 6 10530
3 6 11970
3 6 10831
3 6 10507
3 6 10566
3 6 10564
3 6 10537
3 6 10555
3 6 46254
3 6 10645
3 6 10559
3 6 10430
3 6 10622
3 6 10573
3 6 10539
3 6 10438
3 6 10486
3 6 10530
3 6 10564
3 6 10711
3 6 10513
3 6 10496
3 6 10451
3 6 10532
3 6 10501
3 6 10374
3 6 10560
3 6 10442
3 6 10533
3 6 20167
3 6 10606
3 6 10469
3 6 10593
3 6 10461
3 6 10571
3 6 10458
3 6 10450
3 6 10545
3 6 10513
3 6 10447
3 6 10706
3 6 10495
3 6 10540
3 6 10576
3 6 10487
3 6 10544
3 6 10314
3 6 10601
3 6 10484
3 6 10429
3 6 11592
3 6 98046
3 6 11905
3 6 11492
3 6 27444
3 6 11830
3 6 17694
3 6 11552
3 6 11449
3 6 11503
3 6 11348
3 6 11451
3 6 11471
3 6 11553
3 6 11562
3 6 11659
3 6 11645
3 6 11623
3 6 11604
3 6 11794
3 6 11544
3 6 11707
3 6 15094
3 6 11693
3 6 11621
3 6 11674
3 6 12675
3 6 11790
3 6 11576
3 6 11662
3 6 11476
3 6 11562
3 6 11611
3 6 30693
3 6 11863
3 6 11487
3 6 11608
3 6 11591
3 6 11733
3 6 11509
3 6 11414
3 6 11731
3 6 11700
3 6 17485
3 6 11861
