Nodos AristasExistentes Tiempo
3 2 26590
3 2 105153
3 3 13496
3 4 12537
3 4 13183
3 2 12887
3 3 13031
3 1 23020
3 3 13070
3 1 13210
3 2 12729
3 3 12670
3 2 13082
3 2 12800
3 4 12103
3 2 13000
3 4 12239
3 2 11620
3 2 11823
3 1 11991
3 1 11511
3 2 11536
3 1 11647
3 4 10943
3 3 11847
3 5 10932
3 3 11716
3 3 11930
3 2 12131
3 3 11805
3 2 11892
3 3 11909
3 2 11853
3 3 11544
3 2 11491
3 2 11544
3 5 10991
3 1 11553
3 2 11560
3 3 11549
3 4 10558
3 3 11628
3 1 12760
3 4 27434
3 2 11935
3 4 10775
3 4 11854
3 2 11665
3 2 11579
3 3 10630
3 3 11512
3 5 11017
3 4 25491
3 4 10654
3 4 10652
3 2 11843
3 0 11861
3 4 11725
3 1 11702
3 3 11610
3 2 11613
3 4 11646
3 6 11021
3 3 11708
3 3 11852
3 2 11766
3 2 11736
3 4 11673
3 3 11593
3 4 11798
3 3 11495
3 2 11991
3 4 109897
3 4 12028
3 4 10689
3 4 11618
3 4 11356
3 4 10540
3 4 20760
3 3 22334
3 4 11739
3 2 11771
3 2 11767
3 4 11712
3 2 11561
3 5 10906
3 1 11753
3 1 12933
3 2 13052
3 4 12533
3 1 12855
3 3 12880
3 2 12673
3 4 11572
3 3 12966
3 4 12718
3 3 12725
3 4 11882
3 3 11621
3 2 11750
4 6 12495
4 7 11273
4 5 12603
4 7 11565
4 9 11451
4 5 12293
4 7 11486
4 8 24913
4 7 11315
4 5 12411
4 4 12497
4 5 13988
4 7 12676
4 8 11138
4 4 12490
4 7 11002
4 7 12825
4 3 14230
4 7 11221
4 5 12420
4 6 11330
4 7 11072
4 6 12457
4 6 38939
4 4 14430
4 5 12428
4 7 11234
4 4 12569
4 6 12488
4 7 11250
4 5 29438
4 8 11436
4 4 12512
4 7 13128
4 6 11168
4 7 11326
4 7 11097
4 3 14292
4 5 12586
4 7 11218
4 5 12864
4 4 14394
4 8 2361
4 8 13273
4 5 12509
4 5 12810
4 6 12662
4 4 24599
4 5 12392
4 6 12872
4 8 10978
4 6 12394
4 5 12622
4 3 14313
4 4 12510
4 5 13488
4 8 11188
4 7 12504
4 5 12541
4 7 11183
4 7 11031
4 6 12562
4 3 12425
4 6 11056
4 5 12493
4 5 21024
4 5 12612
4 6 14351
4 7 12434
4 6 12890
4 8 11433
4 6 12236
4 3 12389
4 5 12222
4 8 12706
4 5 13885
4 8 12473
4 6 13788
4 6 13799
4 4 15113
4 7 13760
4 8 12371
4 4 30294
4 7 12316
4 4 13429
4 7 12157
4 6 12083
4 3 13457
4 8 12067
4 6 12153
4 3 38048
4 9 27449
4 8 13848
4 7 12282
4 4 13862
4 5 13779
4 5 12540
4 4 15692
4 5 19934
4 4 13620
5 10 12925
5 16 13392
5 10 14719
5 15 13460
5 9 13888
5 12 13816
5 13 20706
5 9 14428
5 10 106479
5 8 14330
5 16 13637
5 14 13241
5 11 13074
5 13 30674
5 8 14537
5 10 13317
5 12 13493
5 13 13405
5 8 12961
5 12 12977
5 8 13096
5 14 13402
5 11 12991
5 8 14687
5 9 12966
5 17 13820
5 8 13295
5 8 14625
5 9 18588
5 11 13075
5 11 13037
5 14 13076
5 14 13171
5 13 11997
5 10 12622
5 8 12933
5 12 12256
5 6 12755
5 10 13069
5 12 11821
5 10 11865
5 8 13275
5 12 12054
5 11 11669
5 10 11694
5 14 12115
5 9 14868
5 12 27260
5 8 11957
5 9 15105
5 8 15283
5 4 14836
5 12 11928
5 9 11684
5 9 11841
5 6 12912
5 10 13095
5 10 12936
5 14 12087
5 11 11966
5 11 11848
5 11 11938
5 16 13125
5 12 12073
5 8 13150
5 11 13411
5 5 14784
5 7 13571
5 10 12124
5 8 11498
5 14 12117
5 12 48566
5 12 13331
5 8 185456
5 10 23286
5 14 12219
5 11 12054
5 11 11880
5 9 13478
5 8 13372
5 11 28592
5 11 12117
5 11 11999
5 9 13372
5 10 13048
5 6 13454
5 6 13016
5 14 12284
5 9 11856
5 10 11877
5 12 11951
5 15 12269
5 8 19160
5 10 12924
5 10 11879
5 11 13240
5 11 12081
5 11 12125
5 11 12065
5 13 13249
6 19 13085
6 13 12330
6 16 12587
6 12 15677
6 14 12769
6 11 12529
6 12 13944
6 12 12390
6 16 12395
6 13 15670
6 20 12853
6 16 12744
6 15 12421
6 18 12688
6 14 12354
6 15 28732
6 13 12703
6 11 15795
6 13 13905
6 15 12472
6 17 12634
6 16 12776
6 13 12341
6 14 13971
6 17 12509
6 17 12377
6 18 12601
6 16 12390
6 17 47113
6 17 12724
6 13 25350
6 13 23265
6 16 21729
6 11 21459
6 14 63800
6 18 18349
6 16 20370
6 13 17826
6 14 20021
6 13 18040
6 13 17008
6 19 18815
6 13 17986
6 19 18387
6 17 19030
6 11 19397
6 15 17248
6 20 18041
6 15 17913
6 15 18968
6 13 19615
6 21 10599
6 18 17645
6 16 15713
6 20 15449
6 15 15110
6 17 14797
6 13 14245
6 15 16382
6 20 14853
6 18 14811
6 11 15895
6 12 15735
6 19 15532
6 19 15172
6 15 16200
6 11 14982
6 9 26940
6 18 15159
6 14 14843
6 13 14654
6 13 32737
6 19 14675
6 15 15031
6 17 13502
6 15 14770
6 12 12834
6 16 14731
6 16 13294
6 14 14016
6 17 14440
6 19 14440
6 17 13997
6 14 14266
6 9 15846
6 12 14065
6 11 15478
6 16 16233
6 10 15587
6 18 14578
6 19 14893
6 13 16867
6 12 16050
6 15 15968
6 13 16217
6 13 14307
6 14 14280
6 16 14376
6 16 14623
6 14 14266
7 24 15670
7 21 15282
7 19 15083
7 18 16491
7 19 14794
7 19 14823
7 19 105073
7 20 15170
7 19 15209
7 18 14807
7 22 14858
7 24 15435
7 23 15330
7 20 14783
7 19 14611
7 18 16529
7 21 15077
7 23 15059
7 11 16392
7 22 37685
7 15 14644
7 18 14525
7 20 16533
7 20 15356
7 16 16602
7 19 14756
7 16 16191
7 21 15122
7 22 15207
7 16 19100
7 24 15455
7 22 15068
7 21 16613
7 19 15099
7 24 15092
7 23 15114
7 21 15006
7 23 15372
7 18 14640
7 25 28101
7 24 15447
7 21 14945
7 16 16646
7 26 15308
7 22 15261
7 24 17088
7 20 22820
7 23 15244
7 23 14920
7 23 15115
7 25 15187
7 18 14758
7 19 14911
